id,data_type,data
83,image,https://www.skku.edu/_attach/image/2022/06/ovvHvbLjlfDRcboaRVCD.png
84,image,https://www.skku.edu/_attach/image/2022/05/ZZYFaDcGpJPMLLJyPZll.jpg
85,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97731&attachNo=78639
86,image,https://www.skku.edu/_attach/image/2022/06/qCupEjcVoFWezdTxSaWu.JPG
87,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=90869&attachNo=71577
88,image,https://www.skku.edu/_attach/image/2022/06/eepZgVrsVZSWlOhXftSH.jpg
89,image,https://www.skku.edu/_attach/image/2022/06/XpOHTfRiqXoxauANfPNX.png
90,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97534&attachNo=78428
91,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98111&attachNo=78979
91,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98111&attachNo=78980
92,image,https://www.skku.edu/_attach/image/2022/06/PJcHJyfpPpNhhDgoRfvl.jpg
93,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98107&attachNo=78976
93,image,https://www.skku.edu/_attach/image/2022/06/FdbHMzRzKVEtwaCDnNId.jpg
94,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98106&attachNo=78973
94,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98106&attachNo=78974
95,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98104&attachNo=78972
96,image,https://www.skku.edu/_attach/image/2022/06/ErVtcUsDzCvbFPaUSgBD.png
97,image,https://www.skku.edu/_attach/image/2022/05/HHtPocitkzIXUKFIZXuo.jpg
98,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98102&attachNo=78970
98,image,https://www.skku.edu/_attach/image/2022/06/RLOwXTCioeuAfZgpUWNE.jpg
99,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98100&attachNo=78966
99,image,https://www.skku.edu/_attach/image/2022/06/aojNXUtVxaVnlnvuotqK.jpg
100,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98099&attachNo=78957
100,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98099&attachNo=78958
100,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98099&attachNo=78959
100,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98099&attachNo=78960
100,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98099&attachNo=78961
100,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98099&attachNo=78962
100,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98099&attachNo=78963
100,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98099&attachNo=78964
