id,title,subtitle,content,table_content,url,meta_data,질문,답,테이블
,2022학년도 학사 일정표,1학기,,<s>년도<t>일자<t>학사내용<n>2022<t>2.21.(월)<t>2022학년도  1학기  개시/  1학기  개강<n>2022<t>2.21.(월)∼2.24.(목)<t>학사과정  조기졸업/석사과정  수업연한  단축/석박사통합과정  조기수료·이수포기  신청<n>2022<t>2.21.(월)∼2.24.(목)<t>대학원과정  논문제출자격시험  응시(면제)  신청<n>2022<t>2.21.(월)∼2.25.(금)<t>수강신청  확인/변경<n>2022<t>2.21.(월)∼3.8.(화)<t>2022학년도  1학기  추가  등록(분할납부자  포함)<n>2022<t>3.2.(수)∼3.4.(금)<t>학사과정  학점포기  신청<n>2022<t>3.8.(화)∼3.11.(금)<t>학사과정  수강철회  신청<n>2022<t>3.18.(금)<t>(수업일수  1/4)<n>2022<t>3.21.(월)∼3.23.(수)<t>등록금  분할납부  신청자  2차  등록(4회  분납자)<n>2022<t>3.22.(화)<t>(학기  개시  30일)<n>2022<t>4.11.(월)∼4.18.(월)<t>대학원과정  학위논문  예비·심사  신청<n>2022<t>4.11.(월)∼4.22.(금)<t>학사과정  1학기  중간강의평가<n>2022<t>4.13.(수)<t>(수업일수  2/4)<n>2022<t>4.18.(월)∼4.20.(수)<t>등록금  분할납부  신청자  최종(2회  분납자)/  3차(4회  분납자)  등록<n>2022<t>4.18.(월)∼4.22.(금)<t>학사과정  복수전공  1차  신청<n>2022<t>4.21.(목)<t>(학기  개시  60일)<n>2022<t>5.9.(월)∼5.11.(수)<t>등록금  분할납부  신청자  최종  등록(4회  분납자)<n>2022<t>5.9.(월)<t>(수업일수  3/4)  일반휴학신청  마감기한<n>2022<t>5.10.(화)∼6.3.(금)<t>재학중  입대휴학자  학점인정  신청가능  입대일<n>2022<t>5.16.(월)∼5.27.(금)<t>1학기  기말강의평가<n>2022<t>5.16.(월)∼5.27.(금)<t>2022학년도  2학기  학사과정  학석사연계과정  신청<n>2022<t>5.21.(토)<t>(학기  개시  90일)<n>2022<t>5.30.(월)∼6.3.(금)<t>1학기  기말시험<n>2022<t>5.30.(월)∼6.9.(목)<t>1학기  성적입력<n>2022<t>6.3.(금)<t>1학기  종강  (수업일수  4/4)<n>2022<t>6.4.(토)<t>여름방학<n>2022<t>6.7.(화)<t>여름  계절수업/  도전학기  시작<n>2022<t>6.10.(금)∼6.15.(수)<t>1학기  성적공시<n>2022<t>6.20.(월)<t>1학기  성적확정<n>2022<t>6.30.(목)<t>2022년  8월  졸업예정  학사과정  3품인증  취득증빙  제출기한<n>2022<t>7.1.(금)<t>2022년  8월  학위취득예정  대학원과정  학위논문  On-line  탑재  완료기한<n>2022<t>7.8.(금)<t>2022년  8월  학위취득예정  대학원과정  학위논문  인쇄본  제출기한<n>2022<t>7.11.(월)∼7.15.(금)<t>학사과정  복수전공  2차  신청(교직복수전공  포함)<n>2022<t>7.18.(월)∼7.22.(금)<t>2학기  재입학  신청<n>2022<t>7.18.(월)∼7.29.(금)<t>2학기  복학  신청<n>2022<t>7.25.(월)∼9.2.(금)<t>2학기  일반휴학  신청<n>2022<t>8.15.(월)∼8.17.(수)<t>2022학년도  2학기  등록금  분할납부  신청<n>2022<t>8.19.(금)∼8.25.(목)<t>2022학년도  2학기  등록/  분할납부  신청자  1차  등록<n>2022<t>8.25.(목)<t>2022년  여름  학위수여식<n>2022<t>8.28.(일)<t>여름방학  종료,https://www.skku.edu/_res/skku/etc/2022_p1.pdf,1,1학기 학사일정,1학기 학사일정은 다음과 같습니다.,1
10000,2022학년도 학사 일정표,1학기,,<s>년도<t>일자<t>학사내용<n>2022<t>2.21.(월)<t>2022학년도  1학기  개시/  1학기  개강<n>2022<t>2.21.(월)∼2.24.(목)<t>학사과정  조기졸업/석사과정  수업연한  단축/석박사통합과정  조기수료·이수포기  신청<n>2022<t>2.21.(월)∼2.24.(목)<t>대학원과정  논문제출자격시험  응시(면제)  신청<n>2022<t>2.21.(월)∼2.25.(금)<t>수강신청  확인/변경<n>2022<t>2.21.(월)∼3.8.(화)<t>2022학년도  1학기  추가  등록(분할납부자  포함)<n>2022<t>3.2.(수)∼3.4.(금)<t>학사과정  학점포기  신청<n>2022<t>3.8.(화)∼3.11.(금)<t>학사과정  수강철회  신청<n>2022<t>3.18.(금)<t>(수업일수  1/4)<n>2022<t>3.21.(월)∼3.23.(수)<t>등록금  분할납부  신청자  2차  등록(4회  분납자)<n>2022<t>3.22.(화)<t>(학기  개시  30일)<n>2022<t>4.11.(월)∼4.18.(월)<t>대학원과정  학위논문  예비·심사  신청<n>2022<t>4.11.(월)∼4.22.(금)<t>학사과정  1학기  중간강의평가<n>2022<t>4.13.(수)<t>(수업일수  2/4)<n>2022<t>4.18.(월)∼4.20.(수)<t>등록금  분할납부  신청자  최종(2회  분납자)/  3차(4회  분납자)  등록<n>2022<t>4.18.(월)∼4.22.(금)<t>학사과정  복수전공  1차  신청<n>2022<t>4.21.(목)<t>(학기  개시  60일)<n>2022<t>5.9.(월)∼5.11.(수)<t>등록금  분할납부  신청자  최종  등록(4회  분납자)<n>2022<t>5.9.(월)<t>(수업일수  3/4)  일반휴학신청  마감기한<n>2022<t>5.10.(화)∼6.3.(금)<t>재학중  입대휴학자  학점인정  신청가능  입대일<n>2022<t>5.16.(월)∼5.27.(금)<t>1학기  기말강의평가<n>2022<t>5.16.(월)∼5.27.(금)<t>2022학년도  2학기  학사과정  학석사연계과정  신청<n>2022<t>5.21.(토)<t>(학기  개시  90일)<n>2022<t>5.30.(월)∼6.3.(금)<t>1학기  기말시험<n>2022<t>5.30.(월)∼6.9.(목)<t>1학기  성적입력<n>2022<t>6.3.(금)<t>1학기  종강  (수업일수  4/4)<n>2022<t>6.4.(토)<t>여름방학<n>2022<t>6.7.(화)<t>여름  계절수업/  도전학기  시작<n>2022<t>6.10.(금)∼6.15.(수)<t>1학기  성적공시<n>2022<t>6.20.(월)<t>1학기  성적확정<n>2022<t>6.30.(목)<t>2022년  8월  졸업예정  학사과정  3품인증  취득증빙  제출기한<n>2022<t>7.1.(금)<t>2022년  8월  학위취득예정  대학원과정  학위논문  On-line  탑재  완료기한<n>2022<t>7.8.(금)<t>2022년  8월  학위취득예정  대학원과정  학위논문  인쇄본  제출기한<n>2022<t>7.11.(월)∼7.15.(금)<t>학사과정  복수전공  2차  신청(교직복수전공  포함)<n>2022<t>7.18.(월)∼7.22.(금)<t>2학기  재입학  신청<n>2022<t>7.18.(월)∼7.29.(금)<t>2학기  복학  신청<n>2022<t>7.25.(월)∼9.2.(금)<t>2학기  일반휴학  신청<n>2022<t>8.15.(월)∼8.17.(수)<t>2022학년도  2학기  등록금  분할납부  신청<n>2022<t>8.19.(금)∼8.25.(목)<t>2022학년도  2학기  등록/  분할납부  신청자  1차  등록<n>2022<t>8.25.(목)<t>2022년  여름  학위수여식<n>2022<t>8.28.(일)<t>여름방학  종료,https://www.skku.edu/_res/skku/etc/2022_p1.pdf,1,1학기 기말고사 날짜,1학기 기말고사 날짜는 5.30.(월)∼6.3.(금)입니다.,1
10001,2022학년도 학사 일정표,2학기,,<s>년도<t>일자<t>학사내용<n>2022<t>8.29.(월)<t>2022학년도  2학기  개시/  2학기  개강<n>2022<t>8.29.(월)∼9.1.(목)<t>학사과정  조기졸업/석사과정  수업연한  단축/석박사통합과정  조기수료·이수포기  신청<n>2022<t>8.29.(월)∼9.1.(목)<t>대학원과정  논문제출자격시험  응시(면제)  신청<n>2022<t>8.29.(월)∼9.2.(금)<t>수강신청  확인/변경<n>2022<t>8.29.(월)∼9.6.(화)<t>2022학년도  2학기  추가  등록(분할납부자  포함)<n>2022<t>9.6.(화)∼9.8.(목)<t>학사과정  학점포기  신청<n>2022<t>9.14.(수)∼9.16.(금)<t>학사과정  수강철회  신청<n>2022<t>9.22.(목)∼9.26.(월)<t>등록금  분할납부  신청자  2차  등록(4회  분납자)<n>2022<t>9.23.(금)<t>(수업일수  1/4)<n>2022<t>9.25.(일)<t>건학기념일<n>2022<t>9.27.(화)<t>(학기  개시  30일)<n>2022<t>9.28.(수)<t>공부자탄강일(정기휴업일)<n>2022<t>10.17.(월)∼10.19.(수)<t>등록금  분할납부  신청자  최종(2회  분납자)/  3차(4회  분납자)  등록<n>2022<t>10.17.(월)∼10.24.(월)<t>대학원과정  학위논문  예비·심사  신청<n>2022<t>10.17.(월)∼10.28.(금)<t>학사과정  2학기  중간강의평가<n>2022<t>10.19.(수)<t>(수업일수  2/4)<n>2022<t>10.24.(월)∼10.28.(금)<t>학사과정  복수전공  1차  신청<n>2022<t>10.27.(목)<t>(학기  개시  60일)<n>2022<t>11.7.(월)∼11.9.(수)<t>등록금  분할납부  신청자  최종  등록(4회  분납자)<n>2022<t>11.14.(월)∼11.18.(금)<t>학사과정  교직과정  신청<n>2022<t>11.14.(월)<t>(수업일수  3/4)  일반휴학신청  마감기한<n>2022<t>11.15.(화)∼12.9.(금)<t>재학중  입대휴학자  학점인정  신청가능  입대일<n>2022<t>11.21.(월)∼12.2.(금)<t>2학기  기말강의평가<n>2022<t>11.21.(월)∼12.2.(금)<t>학사과정  2023학년도  1학기  학석사연계과정  신청<n>2022<t>11.26.(토)<t>(학기  개시  90일)<n>2022<t>12.5.(월)∼12.9.(금)<t>2학기  기말시험<n>2022<t>12.5.(월)∼12.15.(목)<t>2학기  성적입력<n>2022<t>12.9.(금)<t>2학기  종강  (수업일수  4/4)<n>2022<t>12.10.(토)<t>겨울방학<n>2022<t>12.12.(월)<t>겨울  계절수업  시작<n>2022<t>12.16.(금)∼12.21(수)<t>2학기  성적공시<n>2022<t>12.26.(월)<t>2학기  성적확정<n>2022<t>12.26.(월)∼1.2.(월)<t>2023학년도  1학기  재입학  신청<n>2022<t>12.26.(월)∼1.6.(금)<t>2023학년도  1학기  복학  신청<n>2022<t>12.30.(금)<t>2023년  2월  졸업예정  학사과정  3품인증  취득증빙  제출기한<n>2022<t>12.30.(금)<t>2023년  2월  학위취득예정  대학원과정  학위논문  On-line  탑재  완료기한<n>2023<t>1.2.(월)∼1.6.(금)<t>학사과정  복수전공  2차  신청(교직복수전공  포함)<n>2023<t>1.6.(금)<t>2023년  2월  학위취득예정  대학원과정  학위논문인쇄본  제출기한<n>2023<t>1.9.(월)∼2.24.(금)<t>2023학년도  1학기  일반휴학  신청<n>2023<t>2.6.(월)∼2.8.(수)<t>2023학년도  1학기  등록금  분할납부  신청<n>2023<t>2.10.(금)∼2.16.(목)<t>2023학년도  1학기  등록/  분할납부  신청자  1차  등록<n>2023<t>2.15.(수)<t>2023년  겨울  학위수여식<n>2023<t>2.19.(일)<t>겨울방학  종료,https://www.skku.edu/_res/skku/etc/2022_p1.pdf,1,2학기 성적 공시,2학기 성적 공시 날짜는 12.16.(금)∼12.21(수)입니다.,1
10002,2022학년도 수강신청 일정,전자시간표 OPEN,2022.1.26.(수) 10:00부터,,https://www.skku.edu/_res/skku/etc/2022_p2.pdf,-1,1학기 전자시간표 언제,1학기 전자시간표는 2022.1.26.(수) 10:00부터 열립니다.,0
10003,2022학년도 수강신청 일정,2022학년도 수강신청 일정," - 수강신청시간: 10:00~23:00- 수강신청대상자는“재학예정학기(등록학기 기준)”를 기준으로 합니다. (인정학기는 포함하되 유급한 학기수는 제외함)- 캠퍼스를 통합하여 수강신청이 진행됩니다.- 대학원과정/교환학생은 학사과정보다 하루 빠른 2.9.(수)부터 수강신청이 시작됩니다.- 편입학생은 첫 학기에만 신/편입생 일자에 진행하며, 두 번째 학기부터는 등록예정학기에 수강신청이 진행됩니다.","<s>학기<t>학위
구분<t>등록예정학기수<t>수강신청  일정<n>1
학
기<t>학사
과정<t>3~4학기<t>2.10.(목)<n>1
학
기<t>학사
과정<t>5~6학기<t>2.11.(금)<n>1
학
기<t>학사
과정<t>7학기  이상<t>2.14.(월)<n>1
학
기<t>학사
과정<t>신/편입생
1~2학기<t>1차
2.17.(목)
2차
2.20.(일)  19:00  ~  21:30<n>1
학
기<t>Inbound  교환학생<t><t>2.9.(수)~2.14.(월),  2.17.(목)
※주말·공휴일  제외<n>1
학
기<t>대학원과정<t><t>2.9.(수)~2.14.(월),  2.17.(목)
※주말·공휴일  제외<n>2
학
기<t>학사
과정<t>3~4학기<t>8.17.(수)<n>2
학
기<t>학사
과정<t>5~6학기<t>8.18.(목)<n>2
학
기<t>학사
과정<t>7학기  이상<t>8.19.(금)<n>2
학
기<t>학사
과정<t>신/편입생
1~2학기<t>8.22.(월)<n>2
학
기<t>Inbound  교환학생<t><t>8.16.(화)~8.22.(월)
※주말·공휴일  제외<n>2
학
기<t>대학원과정<t><t>8.16.(화)~8.22.(월)
※주말·공휴일  제외",https://www.skku.edu/_res/skku/etc/2022_p2.pdf,1,수강신청 날짜,1학기 수강신청 날짜는 다음과 같습니다.,1
10004,2022학년도 수강신청 일정,2022학년도 수강신청 확인/변경 일정, - 수강신청 확인/변경기간에는 대기순번 없이 정원여석 범위 내에서 선착순으로 수강신청합니다.- 수강변경 및 확인기간에는 등록예정학기별 TO를 통합하여 운영합니다.- 수강변경 및 확인기간 중 수강신청 변경은 24시간 가능합니다.(수강신청 불가기간 제외)-2022학년도 1학기 확인/변경 일정- 2022학년도 2학기 수강신청 확인/변경 일정,<s>구  분<t>수강변경  및  확인  일정<n>전체  강좌<t>2.22.(화)  08:00  ~  2.25.(금)  22:59<n>수강신청  불가<t>2.24.(목)  17:00  ~  2.25.(금)  07:59<n>폐반  확정일(최종)<t>2.28.(월)<n>폐반학생대상  추가  수강신청<t>3.2.(수)  08:00  ~  22:59<s>구  분<t>수강변경  및  확인  일정<n>전체  강좌<t>8.29.(월)  08:00  ~  9.2.(금)  22:59<n>수강신청  불가<t>8.31.(수)  17:00  ~  9.1.(목)  07:59<n>폐반  확정일(최종)<t>9.5.(월)<n>폐반학생대상  추가  수강신청<t>9.6.(화)  08:00  ~  22:59,https://www.skku.edu/_res/skku/etc/2022_p2.pdf,1,수강변경 날짜,1학기 수강변경 날짜는 다음과 같습니다.,1
10005,등록,수업연한,우리대학 재학생이 졸업(수료)하기 위해 반드시 등록(등록금 납부)해야 하는 기간을 말합니다.,,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,수업 연한?,우리 대학 재학생이 졸업하기 위해 반드시 등록해야 하는 기간을 말합니다.,0
10006,등록,수업연한// 학위과정별 수업연한," - 학사과정: 일반학과 4년, 건축학과 5년, 의과대학 총 6년(의예과 2년, 의학과4년), 약학대학 4년(3학년 1학기 편입 후 전공 교육 4년)- 석사과정 및 박사과정: 각 2년- 석박사통합과정: 4년- 특수대학원 석사과정: 2년 6개월- 법학전문대학원: 3년, 의학전문대학원: 4년",,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,건축학과 졸업하는데 걸리는 시간,5년,1
10007,등록,수업연한// 학위과정별 의무 등록학기,,"<s>구분<t>구분<t>학기<t>비  고<n>학사<t>학사<t>정규등록(8학기)
초과등록<t><n>학사<t>학사<t>정규등록(7학기)-조기졸업<t><n>학사<t>학사<t>정규등록(6학기)-조기졸업<t><n>일    반
대학원<t>석사<t>정규등록(4학기)
초과등록<t><n>일    반
대학원<t>박사<t>정규등록(4학기)
연구등록(4학기)<t>수료후 
연구등록 
연속  4회<n>일    반
대학원<t>석박사
통합<t>정규등록(8학기)
연구등록(4학기)<t>수료(조기수료)후 
연구등록 
연속 4회<n>일    반
대학원<t>석박사
통합<t>정규등록(7학기)-조기수료
연구등록(4학기)<t>수료(조기수료)후 
연구등록 
연속 4회<n>일    반
대학원<t>석박사
통합<t>정규등록(6학기)-조기수료
연구등록(4학기)<t>수료(조기수료)후 
연구등록 
연속 4회<n>전    문
대학원<t>석사<t>정규등록(4학기)
초과등록<t><n>전    문
대학원<t>박사<t>정규등록(4학기)
연구등록(4학기)<t>수료후
연구등록 
연속  4회<n>전    문
대학원<t>석박사
통합<t>정규등록(8학기)
연구등록(4학기)<t>수료(조기수료)후 
연구등록 
연속 4회<n>전    문
대학원<t>석박사
통합<t>정규등록(7학기)-조기수료
연구등록(4학기)<t>수료(조기수료)후 
연구등록 
연속 4회<n>전    문
대학원<t>석박사
통합<t>정규등록(6학기)-조기수료
연구등록(4학기)<t>수료(조기수료)후 
연구등록 
연속 4회<n>특    수
대학원<t>석사<t>정규등록(5학기)
초과등록<t>",https://www.skku.edu/_res/skku/etc/2022_p3.pdf,1,석박통합 기간,"일반 대학원의 석박사 통합의 경우 정규 등록 기간은 8학기이며, 6학기 혹은 7학기로 조기 수료할 수 있습니다. 전문 대학원의 석박사 통합 또한 정규 등록 기간은 8학기이며, 6학기 혹은 7학기로 조기 수료할 수 있습니다.",1
10008,등록,등록,"등록금을 납부함으로써 해당 학기에 학교에 다니겠다고 의사표시를 하는 것이며, 복학생도 재학생과 동일합니다.",,https://www.skku.edu/_res/skku/etc/2022_p3.pdf,-1,등록이란?,"등록금을 납부함으로써 해당 학기에 학교에 다니겠다고 의사표시를 하는 것이며, 복학생 도 재학생과 동일합니다.",0
